PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day_of_week,month,PT08.S1(CO)_roll3,PT08.S2(NMHC)_roll3,PT08.S3(NOx)_roll3,PT08.S4(NO2)_roll3,PT08.S5(O3)_roll3,T_roll3,RH_roll3,AH_roll3
1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,18,2,3,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578
1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,19,2,3,1326.0,1000.5,1115.0,1625.5,1120.0,13.45,48.3,0.74165
1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,20,2,3,1351.3333333333333,980.0,1123.3333333333333,1602.0,1104.6666666666667,12.933333333333332,50.199999999999996,0.7445
1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,21,2,3,1356.6666666666667,947.3333333333334,1135.3333333333333,1566.0,1083.0,12.066666666666668,53.9,0.7541333333333333
1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,22,2,3,1350.0,907.6666666666666,1145.6666666666667,1543.0,1129.0,11.366666666666667,57.866666666666674,0.7752333333333333
1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,23,2,3,1281.6666666666667,844.6666666666666,1211.3333333333333,1489.0,1087.3333333333333,11.133333333333333,59.6,0.7867666666666667
1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,0,3,3,1218.0,758.6666666666666,1334.6666666666667,1405.3333333333333,930.6666666666666,11.233333333333334,58.53333333333334,0.7779666666666666
1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,1,3,3,1172.6666666666667,704.0,1417.3333333333333,1353.0,804.0,11.066666666666668,58.666666666666664,0.7717666666666667
1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,2,3,3,1138.3333333333333,657.0,1498.0,1314.0,694.3333333333334,10.9,58.833333333333336,0.7651
1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,3,3,3,1080.0,614.0,1579.0,1281.3333333333333,617.0,10.566666666666666,59.96666666666667,0.7622333333333332
1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,5,3,3,1056.6666666666667,560.6666666666666,1734.0,1231.0,514.3333333333334,10.666666666666666,58.70000000000001,0.7510333333333333
1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,6,3,3,1042.6666666666667,542.0,1787.0,1212.6666666666667,465.0,10.6,58.166666666666664,0.7412000000000001
1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,7,3,3,1087.3333333333333,577.3333333333334,1715.3333333333333,1247.3333333333333,541.3333333333334,10.566666666666666,57.96666666666667,0.7378666666666667
1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,8,3,3,1176.3333333333333,706.6666666666666,1454.6666666666667,1359.0,768.0,10.5,58.36666666666667,0.7392666666666666
1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,9,3,3,1276.0,842.3333333333334,1235.0,1479.6666666666667,953.3333333333334,10.5,59.20000000000001,0.7505333333333333
1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,10,3,3,1305.6666666666667,895.6666666666666,1144.3333333333333,1515.3333333333333,996.6666666666666,10.700000000000001,58.800000000000004,0.7550333333333333
1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,11,3,3,1254.3333333333333,849.6666666666666,1208.3333333333333,1463.6666666666667,853.0,10.6,58.96666666666666,0.7531666666666667
1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,12,3,3,1216.0,787.6666666666666,1282.3333333333333,1403.0,731.6666666666666,10.266666666666667,61.03333333333333,0.7618333333333333
1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,13,3,3,1233.6666666666667,801.6666666666666,1263.6666666666667,1433.3333333333333,711.3333333333334,9.433333333333334,67.03333333333333,0.7898666666666667
1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,14,3,3,1297.6666666666667,892.3333333333334,1148.6666666666667,1556.0,833.3333333333334,8.6,74.76666666666667,0.836
1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,15,3,3,1322.3333333333333,945.3333333333334,1075.6666666666667,1638.0,927.3333333333334,8.200000000000001,79.10000000000001,0.8635666666666667
1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,16,3,3,1324.3333333333333,959.6666666666666,1056.0,1656.0,980.0,8.666666666666666,77.36666666666666,0.8694333333333333
1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,17,3,3,1328.3333333333333,955.0,1064.3333333333333,1652.3333333333333,1002.3333333333334,9.266666666666667,72.86666666666666,0.8510666666666666
1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8065,18,3,3,1418.6666666666667,1083.6666666666667,970.0,1797.6666666666667,1156.6666666666667,9.933333333333334,67.66666666666667,0.8273
1776.0,1488.0,702.0,2333.0,1704.0,9.7,69.3,0.8319,19,3,3,1580.0,1275.6666666666667,836.3333333333334,2045.0,1405.6666666666667,9.933333333333334,67.03333333333333,0.8189666666666667
1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8133,20,3,3,1665.6666666666667,1403.6666666666667,748.0,2202.3333333333335,1589.0,9.866666666666667,67.10000000000001,0.8172333333333333
1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,21,3,3,1576.3333333333333,1322.6666666666667,800.6666666666666,2077.0,1547.6666666666667,9.466666666666667,67.03333333333335,0.7957000000000001
965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,22,3,3,1306.0,1076.3333333333333,1008.3333333333334,1743.6666666666667,1253.3333333333333,8.966666666666667,65.06666666666666,0.7485666666666666
913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,23,3,3,1063.6666666666667,818.0,1282.3333333333333,1430.6666666666667,886.0,8.499999999999998,62.73333333333333,0.6993666666666667
1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,0,4,3,986.0,727.6666666666666,1381.3333333333333,1320.0,729.6666666666666,8.233333333333333,60.9,0.6666666666666666
1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,1,4,3,1012.3333333333334,754.3333333333334,1355.3333333333333,1335.0,733.3333333333334,8.066666666666666,59.666666666666664,0.6467666666666666
988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,2,4,3,1037.3333333333333,784.0,1299.0,1352.3333333333333,780.0,7.7,60.0,0.6340666666666667
889.0,574.0,1680.0,1187.0,512.0,7.0,62.3,0.6261,3,4,3,973.6666666666666,707.0,1441.0,1289.6666666666667,678.6666666666666,7.266666666666667,61.26666666666667,0.6281666666666667
847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,5,4,3,908.0,597.6666666666666,1657.0,1215.3333333333333,532.6666666666666,6.8,63.03333333333333,0.6256666666666667
927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,6,4,3,887.6666666666666,548.6666666666666,1753.3333333333333,1188.3333333333333,464.3333333333333,6.699999999999999,63.400000000000006,0.6242666666666666
1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,7,4,3,955.0,600.6666666666666,1655.6666666666667,1246.3333333333333,543.0,6.5,64.33333333333333,0.6261
1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,8,4,3,1201.6666666666667,845.6666666666666,1323.0,1494.6666666666667,878.3333333333334,6.833333333333333,63.699999999999996,0.6349666666666667
1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632,10,4,3,1342.6666666666667,1028.0,1065.3333333333333,1657.6666666666667,1128.3333333333333,8.966666666666667,56.63333333333333,0.6378333333333334
1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,11,4,3,1400.0,1130.3333333333333,926.0,1736.6666666666667,1268.0,11.6,47.73333333333333,0.6354
1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,12,4,3,1273.0,1047.0,972.0,1615.6666666666667,1121.0,14.166666666666666,38.86666666666667,0.6252666666666666
1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,13,4,3,1240.3333333333333,1013.0,1004.0,1576.0,1036.3333333333333,15.133333333333335,36.46666666666667,0.6233333333333333
1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,14,4,3,1248.3333333333333,1026.6666666666667,997.3333333333334,1596.6666666666667,1001.0,15.800000000000002,35.56666666666667,0.6339
1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,15,4,3,1297.3333333333333,1072.0,959.6666666666666,1664.3333333333333,1061.0,16.066666666666666,35.733333333333334,0.6477333333333334
1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,16,4,3,1316.3333333333333,1091.0,941.6666666666666,1685.6666666666667,1104.0,16.0,36.63333333333333,0.6608999999999999
1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,17,4,3,1312.0,1078.6666666666667,960.6666666666666,1669.0,1081.6666666666667,16.2,36.166666666666664,0.6605333333333333
1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,18,4,3,1364.3333333333333,1130.3333333333333,924.0,1725.6666666666667,1172.0,15.966666666666667,37.03333333333333,0.6657333333333333
1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,19,4,3,1436.3333333333333,1188.0,879.6666666666666,1789.0,1284.0,15.466666666666663,39.1,0.6799666666666667
